# index, name, _pos
495,2625,"array([ 1.63712704, -0.47335669])"
496,2645,"array([ 1.68081231, -0.48556136])"
497,2648,"array([ 1.64951359, -0.52439827])"
498,2650,"array([ 1.63573944, -0.52982747])"
499,2677,"array([ 1.63447415, -0.47460709])"
500,2680,"array([ 1.64495213, -0.50176983])"
501,2702,"array([ 1.67356523, -0.45311376])"
502,2720,"array([ 1.61026523, -0.48570069])"
503,2721,"array([ 1.61735923, -0.4809203 ])"
504,2726,"array([ 1.65629173, -0.52489398])"
505,2729,"array([ 1.66059806, -0.4914227 ])"
506,2736,"array([ 1.65111344, -0.52995097])"
507,2748,"array([ 1.62546563, -0.46801101])"
508,2749,"array([ 1.682775  , -0.49168041])"
509,2755,"array([ 1.68767229, -0.46205008])"
510,2761,"array([ 1.69939009, -0.45385286])"
511,2770,"array([ 1.61045989, -0.4611388 ])"
512,2777,"array([ 1.60962386, -0.45607539])"
513,2800,"array([ 1.63105082, -0.49994715])"
514,2816,"array([ 1.60091247, -0.45195866])"
515,2880,"array([ 1.63128657, -0.4190741 ])"
516,2894,"array([ 1.66006333, -0.48517592])"
517,2899,"array([ 1.66991936, -0.51249831])"
518,2900,"array([ 1.64632312, -0.49828496])"
519,2901,"array([ 1.62714833, -0.47094534])"
520,2904,"array([ 1.61106441, -0.50562104])"
521,2906,"array([ 1.70497879, -0.47050875])"
522,2914,"array([ 1.6179539 , -0.48769205])"
523,2921,"array([ 1.6753382 , -0.46934574])"
524,2970,"array([ 1.66052522, -0.5181375 ])"
525,2980,"array([ 1.61441253, -0.48053615])"
526,2985,"array([ 1.61889724, -0.52481301])"
527,2990,"array([ 1.62484671, -0.47604211])"
528,2996,"array([ 1.61782499, -0.47067469])"
529,2998,"array([ 1.67117193, -0.46868289])"
530,3021,"array([ 1.61230697, -0.46627447])"
531,3036,"array([ 1.62809995, -0.49668106])"
532,3041,"array([ 1.64830314, -0.47743805])"
533,3072,"array([ 1.65767224, -0.49450336])"
534,3076,"array([ 1.67423797, -0.45078653])"
535,3078,"array([ 1.65241157, -0.45245474])"
536,3097,"array([ 1.65335615, -0.52264602])"
537,3101,"array([ 1.62150718, -0.48683344])"
538,3124,"array([ 1.65373974, -0.49892082])"
539,3159,"array([ 1.66675362, -0.47038058])"
540,12,"array([ 1.63961643, -0.41441953])"
541,20,"array([ 1.64225972, -0.44281034])"
542,23,"array([ 1.68276156, -0.40862571])"
543,24,"array([ 1.64549967, -0.40126203])"
544,26,"array([ 1.61582921, -0.45036516])"
545,28,"array([ 1.62535397, -0.43372961])"
546,33,"array([ 1.66675322, -0.42218468])"
547,61,"array([ 1.68842029, -0.42319194])"
548,66,"array([ 1.61138505, -0.44725289])"
549,72,"array([ 1.64694599, -0.40335613])"
550,75,"array([ 1.6448518 , -0.41021064])"
551,83,"array([ 1.67270621, -0.43347962])"
552,85,"array([ 1.68586317, -0.43413322])"
553,87,"array([ 1.63495202, -0.43182914])"
554,88,"array([ 1.65748689, -0.40964411])"
555,91,"array([ 1.64685078, -0.41098838])"
556,110,"array([ 1.62102788, -0.39271456])"
557,118,"array([ 1.60156058, -0.43891947])"
558,119,"array([ 1.68113813, -0.44852752])"
559,126,"array([ 1.66515292, -0.40262716])"
560,127,"array([ 1.66483347, -0.38942218])"
561,140,"array([ 1.67452854, -0.39630704])"
562,148,"array([ 1.64507031, -0.42279024])"
