# index, name, _pos
462,182,"array([ 2.8926146 , -0.94101556])"
463,183,"array([ 2.84039125, -0.82879451])"
464,188,"array([ 2.88728308, -0.90742589])"
465,256,"array([ 2.83737599, -0.84832078])"
466,259,"array([ 2.85809384, -0.87751984])"
467,284,"array([ 2.81249527, -0.90647536])"
468,299,"array([ 2.79675852, -0.87551976])"
469,308,"array([ 2.78835595, -0.80090343])"
470,328,"array([ 2.8565314 , -0.82003911])"
471,330,"array([ 2.87229295, -0.87946764])"
472,333,"array([ 2.8638281 , -0.88836703])"
473,347,"array([ 2.81260497, -0.85388863])"
474,354,"array([ 2.88900713, -0.90263022])"
475,359,"array([ 2.85567333, -0.90252012])"
476,403,"array([ 2.84541845, -0.80025205])"
477,405,"array([ 2.89986275, -0.90681828])"
478,475,"array([ 2.81608271, -0.8584156 ])"
479,491,"array([ 2.91360961, -0.9280992 ])"
480,521,"array([ 2.83090764, -0.84509957])"
481,527,"array([ 2.81841299, -0.85980431])"
482,530,"array([ 2.91869117, -0.88696488])"
483,533,"array([ 2.89869995, -0.86322838])"
484,542,"array([ 2.85937665, -0.8522125 ])"
485,553,"array([ 2.84209082, -0.87369874])"
486,555,"array([ 2.81921226, -0.93974741])"
487,557,"array([ 2.83335522, -0.84998393])"
488,607,"array([ 2.84225352, -0.85411353])"
489,618,"array([ 2.88211971, -0.85563246])"
490,621,"array([ 2.81813066, -0.87235289])"
491,631,"array([ 2.90859288, -0.83175065])"
492,638,"array([ 2.89162939, -0.86243683])"
493,666,"array([ 2.80010028, -0.90112336])"
494,702,"array([ 2.79938734, -0.85009147])"
495,730,"array([ 2.85962334, -0.93309604])"
496,770,"array([ 2.82993932, -0.86486436])"
497,804,"array([ 2.8703269 , -0.92551054])"
498,808,"array([ 2.86018959, -0.83278696])"
499,814,"array([ 2.95081676, -0.84822588])"
500,826,"array([ 2.82650222, -0.87432464])"
501,835,"array([ 2.81927674, -0.84276724])"
502,862,"array([ 2.88991563, -0.88317821])"
503,873,"array([ 2.89105867, -0.85196746])"
504,874,"array([ 2.84501542, -0.86370307])"
505,896,"array([ 2.80458511, -0.86515308])"
506,913,"array([ 2.86113655, -0.84853544])"
507,949,"array([ 2.89798042, -0.82019053])"
508,964,"array([ 2.83011554, -0.9411124 ])"
509,1019,"array([ 2.83127884, -0.88722198])"
510,1038,"array([ 2.88636097, -0.82414281])"
511,1046,"array([ 2.89829142, -0.94361493])"
512,1090,"array([ 2.93184044, -0.83907248])"
513,1100,"array([ 2.8681659 , -0.86523973])"
514,1122,"array([ 2.90998283, -0.85662454])"
515,1129,"array([ 2.96625441, -0.86562246])"
516,1139,"array([ 2.79869237, -0.8974648 ])"
517,1148,"array([ 2.92211893, -0.89735233])"
